जिला,"विधानसभा
",नगर पालिका
बिजनौर,17. Najibabad,नगर पालिका परिषद - 7-नजीबाबाद
बिजनौर,21. Nehtaur,नगर पालिका परिषद - 8-नहटौर
बिजनौर,20. Dhampur,नगर पालिका परिषद - 9-धामपुर
बिजनौर,20. Dhampur,नगर पालिका परिषद - 10-शेरकोट
बिजनौर,18. Nagina,नगर पालिका परिषद - 11-नगीना
बुलंदशहर,70. Khurja,नगर पालिका परिषद - 1-खुर्जा
बुलंदशहर,65. Bulandshahr,नगर पालिका परिषद - 2-बुलन्दशहर
बुलंदशहर,67. Anupshahr,नगर पालिका परिषद - 3-जहाँगीराबाद
बुलंदशहर,69. Shikarpur,नगर पालिका परिषद - 4-शिकारपुर
बुलंदशहर,64. Sikandrabad,नगर पालिका परिषद - 6-गुलावठी
बुलंदशहर,67. Anupshahr,नगर पालिका परिषद - 7-अनूपशहर
बुलंदशहर,68. Debai,नगर पालिका परिषद - 8-डिबाई
बुलंदशहर,64. Sikandrabad,नगर पालिका परिषद - 9-सिकन्द्राबाद
भदोही,393. Gyanpur,नगर पालिका परिषद - 2-गोपीगंज
मथुरा,81. Chhata,नगर पालिका परिषद - 1-कोसी कलॉं
महराजगंज,316. Nautanwa,नगर पालिका परिषद - 2-नौतनवा
महोबा,230. Mahoba,नगर पालिका परिषद - 1-महोबा
मीरजापुर,396. Mirzapur,नगर पालिका परिषद - 2-मीरजापुर
मीरजापुर,399. Marihan,नगर पालिका परिषद - 3-अहरौरा
मुज़फ्फरनगर,14. Muzaffarnagar Sadar,नगर पालिका परिषद - 2-मुजफ्फरनगर
मुज़फ्फरनगर,15. Khatauli,नगर पालिका परिषद - 4-खतौली
मुरादाबाद,30. Bilari,नगर पालिका परिषद - 1-बिलारी
मेरठ,45. Hastinapur,नगर पालिका परिषद - 2-मवाना
मैनपुरी,107. Mainpuri,नगर पालिका परिषद - 1-मैनपुरी
रामपुर,34. Suar,नगर पालिका परिषद - 1-टाण्डा
रामपुर,34. Suar,नगर पालिका परिषद - 2-स्वार
रामपुर,38. Milak,नगर पालिका परिषद - 3-मिलक
रामपुर,36. Bilaspur,नगर पालिका परिषद - 4-बिलासपुर
रामपुर,37. Rampur,नगर पालिका परिषद - 5-रामपुर
रायबरेली,180. Rae Bareli,नगर पालिका परिषद - 1-रायबरेली
लखीमपुर खीरी,139. Gola Gokrannath,नगर पालिका परिषद - 1-गोला गोकर्ण नाथ
लखीमपुर खीरी,137. Paliya,नगर पालिका परिषद - 2-पलिया कलां
लखीमपुर खीरी,144. Mohammadi,नगर पालिका परिषद - 3-मोहम्मदी
लखीमपुर खीरी,142. Lakhimpur,नगर पालिका परिषद - 4-लखीम पुर
ललितपुर,226. Lalitpur,नगर पालिका परिषद - 1-ललितपुर
शामली,10. Shamli,नगर पालिका परिषद - 5-शामली
शाहजहांपुर,134. Powayan,नगर पालिका परिषद - 4-पुवायाँ
सन्त कबीर नगर,313. Khalilabad,नगर पालिका परिषद - 1-खलीलाबाद
सम्भल,33. Sambhal,नगर पालिका परिषद - 1-सम्भल
सम्भल,31. Chandausi,नगर पालिका परिषद - 2-चन्दौसी
सम्भल,31. Chandausi,नगर पालिका परिषद - 3-बहजोई
सहारनपुर,5. Deoband,नगर पालिका परिषद - 1-देवबन्द
सहारनपुर,2. Nakur,नगर पालिका परिषद - 2-नकुड
सहारनपुर,2. Nakur,नगर पालिका परिषद - 4-सरसावा
सिद्धार्थ नगर,302. Shohratgarh,नगर पालिका परिषद - 1-सिद्धार्थ नगर
