जिला,विधानसभा,जिला पंचायत वार्ड
अमरोहा,41. Amroha,1-अमरोहा एवं जोया
अमरोहा,41. Amroha,2-अमरोहा प्रथम
अमरोहा,41. Amroha,3-अमरोहा द्वितीय
अमरोहा,41. Amroha,4-अमरोहा तृतीय
अमरोहा,40. Naugawan Sadat,5-अमरोहा व जोया व धनौरा
अमरोहा,39. Dhanaura,6-अमरोहा एवं धनौरा
अमरोहा,39. Dhanaura,7-धनौरा प्रथम
अमरोहा,39. Dhanaura,8-धनौरा द्वितीय
अमरोहा,39. Dhanaura,9-धनौरा एवं गजरौला प्रथम
अमरोहा,39. Dhanaura,10-धनौरा एवं गजरौला द्वितीय
अमरोहा,39. Dhanaura,11-गजरौला प्रथम
अमरोहा,39. Dhanaura,12-गजरौला द्वितीय
अमरोहा,40. Naugawan Sadat,13-गजरौला एवं हसनपुर
अमरोहा,40. Naugawan Sadat,14-हसनपुर एवं जोया
अमरोहा,40. Naugawan Sadat,15-हसनपुर प्रथम
अमरोहा,42. Hasanpur,16-हसनपुर एवं गंगेश्वरी
अमरोहा,42. Hasanpur,17-हसनपुर द्वितीय
अमरोहा,42. Hasanpur,18-गंगेश्वरी प्रथम
अमरोहा,42. Hasanpur,19-गंगेश्वरी द्वितीय
अमरोहा,42. Hasanpur,20-गंगेश्वरी तृतीय
अमरोहा,42. Hasanpur,21-हसनपुर एवं गंगेश्वरी
अमरोहा,42. Hasanpur,22-जोया प्रथम
अमरोहा,40. Naugawan Sadat,23-जोया द्वितीय
अमरोहा,42. Hasanpur,24-जोया तृतीय
अमरोहा,41. Amroha,25-जोया चतुर्थ
अमरोहा,41. Amroha,26-जोया पंचम
अमरोहा,41. Amroha,27-जोया षष्टम
अमेठी,185. Gauriganj,1-मुसाफिरखाना प्रथम
अमेठी,185. Gauriganj,2-मुसाफिरखाना द्वितीय
अमेठी,185. Gauriganj,3-मुसाफिरखाना एवं  जगदीशपुर
अमेठी,184. Jagdishpur,4-जगदीशपुर प्रथम
अमेठी,184. Jagdishpur,5-जगदीशपुर द्वितीय
अमेठी,184. Jagdishpur,6-जगदीशपुर तृतीय
अमेठी,184. Jagdishpur,7-जगदीशपुर एवं बाजारशुकुल
अमेठी,184. Jagdishpur,8-बाजारशुकुल प्रथम
अमेठी,184. Jagdishpur,9-बाजारशुकुल द्वितीय
अमेठी,184. Jagdishpur,10-बाजारशुकुल एवं जगदीशपुर
अमेठी,178. Tiloi,11-जगदीशपुर एवं सिंहपुर
अमेठी,178. Tiloi,12-सिंहपुर प्रथम
अमेठी,178. Tiloi,13-सिंहपुर द्वितीय
अमेठी,178. Tiloi,14-सिंहपुर तृतीय
अमेठी,178. Tiloi,15-सिंहपुर एवं तिलोई
अमेठी,178. Tiloi,16-तिलोई
अमेठी,178. Tiloi,17-तिलोई
अमेठी,178. Tiloi,18-तिलोई एवं बहादुरपुर
अमेठी,178. Tiloi,19-बहादुरपुर  प्रथम
अमेठी,178. Tiloi,20-बहादुरपुर  द्वितीय
अमेठी,178. Tiloi,21-बहादुरपुर एवं जामों
अमेठी,185. Gauriganj,22-जामों प्रथम
अमेठी,185. Gauriganj,23-जामों द्वितीय
अमेठी,185. Gauriganj,24-जामों एवं गौरीगंज
अमेठी,185. Gauriganj,25-गौरीगंज प्रथम
अमेठी,185. Gauriganj,26-गौरीगंज एवं  शाहगढ
अमेठी,186. Amethi,27-अमेठी प्रथम
अमेठी,186. Amethi,28-अमेठी द्वितीय
अमेठी,186. Amethi,29-अमेठी एवं संग्रामपुर
अमेठी,186. Amethi,30-संग्रामपुर प्रथम
अमेठी,186. Amethi,31-संग्रामपुर एवं भादर
अमेठी,186. Amethi,32-भादर  प्रथम
अमेठी,186. Amethi,33-भादर एवं  भेटुआ
अमेठी,186. Amethi,34-भेटुआ  प्रथम
अमेठी,186. Amethi,35-भेटुआ एवं  शाहगढ
अमेठी,185. Gauriganj,36- शाहगढ प्रथम
अम्बेडकर नगर,279. Alapur,1-जहाँगीरगंज पूर्वी
अम्बेडकर नगर,279. Alapur,2-जहाँगीरगंज मध्य
अम्बेडकर नगर,279. Alapur,3-जहाँगीरगंज पश्चिमी
अम्बेडकर नगर,279. Alapur,4-रामनगर पूर्वी
अम्बेडकर नगर,279. Alapur,5-रामनगर उत्तरी
अम्बेडकर नगर,279. Alapur,6-रामनगर मध्य
अम्बेडकर नगर,279. Alapur,7-रामनगर दक्षिणी
अम्बेडकर नगर,279. Alapur,8-रामनगर पश्चिमी
अम्बेडकर नगर,278. Tanda,9-बसखारी उत्तरी
अम्बेडकर नगर,278. Tanda,10-बसखारी पश्चिमी
अम्बेडकर नगर,278. Tanda,11-बसखारी मध्य
अम्बेडकर नगर,278. Tanda,12-बसखारी दक्षिणी
अम्बेडकर नगर,278. Tanda,13-टाण्डा पूर्वी उत्तरी
अम्बेडकर नगर,278. Tanda,14-टाण्डा मध्य प्रथम
अम्बेडकर नगर,278. Tanda,15-टाण्डा मध्य द्वितीय
अम्बेडकर नगर,278. Tanda,16-टाण्डा पश्चिमी प्रथम
अम्बेडकर नगर,278. Tanda,17-टाण्डा पश्चिमी द्वितीय
अम्बेडकर नगर,277. Katehari,18-कटेहरी प्रथम
अम्बेडकर नगर,277. Katehari,19-कटेहरी द्वितीय
अम्बेडकर नगर,277. Katehari,20-कटेहरी तृतीय
अम्बेडकर नगर,277. Katehari,21-कटेहरी चतुर्थ
अम्बेडकर नगर,277. Katehari,22-भीटी प्रथम
अम्बेडकर नगर,277. Katehari,23-भीटी द्वितीय
अम्बेडकर नगर,277. Katehari,24-भीटी तृतीय
अम्बेडकर नगर,277. Katehari,25-भीटी चतुर्थ
अम्बेडकर नगर,281. Akbarpur,26-अकबरपुर प्रथम
अम्बेडकर नगर,281. Akbarpur,27-अकबरपुर द्वितीय
अम्बेडकर नगर,281. Akbarpur,28-अकबरपुर तृतीय
अम्बेडकर नगर,281. Akbarpur,29-अकबरपुर चतुर्थ
अम्बेडकर नगर,281. Akbarpur,30-अकबरपुर पंचम
अम्बेडकर नगर,281. Akbarpur,31-अकबरपुर षष्टम
अम्बेडकर नगर,280. Jalalpur,32-जलालपुर दक्षिणी
अम्बेडकर नगर,280. Jalalpur,33-जलालपुर पश्चिमीच
अम्बेडकर नगर,280. Jalalpur,34-जलालपुर मध्य
अम्बेडकर नगर,280. Jalalpur,35-जलालपुर उत्तरी
अम्बेडकर नगर,280. Jalalpur,36-जलालपुर उत्तरी पूर्वी
अम्बेडकर नगर,280. Jalalpur,37-जलालपुर पूर्वी
अम्बेडकर नगर,280. Jalalpur,38-भियांव उत्तरी
अम्बेडकर नगर,280. Jalalpur,39-भियांव पूर्वी
अम्बेडकर नगर,280. Jalalpur,40-भियांव मध्य
अम्बेडकर नगर,280. Jalalpur,41-भियांव दक्षिणी
अयोध्या,276. Goshainganj,1-मयाबाजार प्रथम
अयोध्या,276. Goshainganj,2-मयाबाजार द्वितीय
अयोध्या,276. Goshainganj,3-मयाबाजार तृतीय
अयोध्या,276. Goshainganj,4-मयाबाजार चतुर्थ
अयोध्या,275. Ayodhya,5-पूराबाजार प्रथम
अयोध्या,275. Ayodhya,6-पूराबाजार द्वितीय
अयोध्या,275. Ayodhya,7-पूराबाजार तृतीय एवं मसौधा
अयोध्या,274. Bikapur,8-मसौधा प्रथम
अयोध्या,274. Bikapur,9-मसौधा द्वितीय
अयोध्या,274. Bikapur,10-मसौधा तृतीय
अयोध्या,274. Bikapur,11-सोहावल प्रथम
अयोध्या,274. Bikapur,12-सोहावल द्वितीय
अयोध्या,274. Bikapur,13-सोहावल तृतीय एवं अमानीगंज
अयोध्या,274. Bikapur,14-सोहावल चतुर्थ  एवं अमानीगंज
अयोध्या,271. Rudauli,15-रूदौली प्रथम
अयोध्या,271. Rudauli,16-रूदौली द्वितीय
अयोध्या,271. Rudauli,17-रूदौली तृतीय
अयोध्या,271. Rudauli,18-रूदौली चतुर्थ
अयोध्या,271. Rudauli,19-रूदौली पंचम
अयोध्या,271. Rudauli,20-मवई प्रथम
अयोध्या,271. Rudauli,21-मवई द्वितीय
अयोध्या,271. Rudauli,22-मवई तृतीय एवं रूदौली
अयोध्या,273. Milkipur,23-अमानीगंज प्रथम
अयोध्या,273. Milkipur,24-अमानीगंज द्वितीय एवं मवई
अयोध्या,273. Milkipur,25-अमानीगंज तृतीय
अयोध्या,273. Milkipur,26-मिल्कीपुर प्रथम
अयोध्या,273. Milkipur,27-मिल्कीपुर द्वितीय
अयोध्या,273. Milkipur,28-मिल्कीपुर तृतीय
अयोध्या,273. Milkipur,29-मिल्कीपुर चतुर्थ
अयोध्या,273. Milkipur,30-हरिग्टनगंज प्रथम
अयोध्या,273. Milkipur,31-हरिग्टनगंज द्वितीय एवं मिल्कीपुर
अयोध्या,273. Milkipur,32-हरिग्टनगंज तृतीय
अयोध्या,274. Bikapur,33-बीकापुर प्रथम एवं हरिग्टनगंज एवं तारून
अयोध्या,274. Bikapur,34-बीकापुर द्वितीय
अयोध्या,274. Bikapur,35-बीकापुर तृतीय
अयोध्या,274. Bikapur,36-बीकापुर चतुर्थ
अयोध्या,276. Goshainganj,37-तारून प्रथम
अयोध्या,276. Goshainganj,38-तारून द्वितीय
अयोध्या,276. Goshainganj,39-तारून तृतीय
अयोध्या,276. Goshainganj,40-तारून चतुर्थ
अलीगढ़,73. Atrauli,1-बिजौली-प्रथम
अलीगढ़,73. Atrauli,2-बिजौली-द्वितीय
अलीगढ़,73. Atrauli,3-बिजौली-तृतीय
अलीगढ़,73. Atrauli,4-बिजौली-चतुर्थ
अलीगढ़,73. Atrauli,5-अतरौली-प्रथम
अलीगढ़,73. Atrauli,6-अतरौली-द्वितीय
अलीगढ़,73. Atrauli,7-अतरौली-तृतीय
अलीगढ़,73. Atrauli,8-अतरौली-चतुर्थ
अलीगढ़,72. Barauli,9-जवां-प्रथम
अलीगढ़,72. Barauli,10-जवां-द्वितीय
अलीगढ़,72. Barauli,11-जवां-तृतीय
अलीगढ़,72. Barauli,12-जवां-चतुर्थ
अलीगढ़,72. Barauli,13-चण्डौस-प्रथम
अलीगढ़,71. Khair,14-चण्डौस-द्वितीय
अलीगढ़,71. Khair,15-चण्डौस-तृतीय
अलीगढ़,71. Khair,16-टप्पल -प्रथम
अलीगढ़,71. Khair,17-टप्पल -द्वितीय
अलीगढ़,71. Khair,18-टप्पल-तृतीय
अलीगढ़,71. Khair,19-टप्पल-चतुर्थ
अलीगढ़,71. Khair,20-खैर-प्रथम
अलीगढ़,71. Khair,21-खैर-द्वितीय
अलीगढ़,71. Khair,22-खैर-तृतीय
अलीगढ़,71. Khair,23-खैर-चतुर्थ
अलीगढ़,77. Iglas,24-गोण्डा-प्रथम
अलीगढ़,77. Iglas,25-गोण्डा-द्वितीय
अलीगढ़,77. Iglas,26-गोण्डा-तृतीय
अलीगढ़,77. Iglas,27-गोण्डा-चतुर्थ
अलीगढ़,77. Iglas,28-इगलास-प्रथम
अलीगढ़,77. Iglas,29-इगलास-द्वितीय
अलीगढ़,77. Iglas,30-इगलास-तृतीय
अलीगढ़,77. Iglas,31-इगलास-चतुर्थ
अलीगढ़,72. Barauli,32-लोधा-प्रथम
अलीगढ़,77. Iglas,33-लोधा-द्वितीय
अलीगढ़,77. Iglas,34-लोधा-तृतीय
अलीगढ़,75. Koil,35-लोधा.चतुर्थ
अलीगढ़,72. Barauli,36-धनीपुर-प्रथम
अलीगढ़,72. Barauli,37-धनीपुर-द्वितीय
अलीगढ़,75. Koil,38-धनीपुर-तृतीय
अलीगढ़,74. Chharra,39-धनीपुर-चतुर्थ
अलीगढ़,74. Chharra,40-अकराबाद-प्रथम
अलीगढ़,74. Chharra,41-अकराबाद-द्वितीय
अलीगढ़,74. Chharra,42-अकराबाद-तृतीय
अलीगढ़,73. Atrauli,43-गंगीरी-प्रथम
अलीगढ़,74. Chharra,44-गंगीरी-द्वितीय
अलीगढ़,74. Chharra,45-गंगीरी-तृतीय
अलीगढ़,74. Chharra,46-गंगीरी-चतुर्थ
अलीगढ़,74. Chharra,47-गंगीरी-पंचम
आगरा,86. Etmadpur,1-एत्मादपुर प्रथम
आगरा,86. Etmadpur,2-एत्मादपुर द्वितीय
आगरा,86. Etmadpur,3-एत्मादपुर तृतीय
आगरा,86. Etmadpur,4-एत्मादपुर एवं खन्दौली
आगरा,86. Etmadpur,5-खन्दौली प्रथम
आगरा,86. Etmadpur,6-खन्दौली द्वितीय
आगरा,86. Etmadpur,7-खन्दौली तृतीय
आगरा,90. Agra Rural,8-बरौली अहीर प्रथम
आगरा,90. Agra Rural,9-बरौली अहीर द्वितीय
आगरा,90. Agra Rural,10-बरौली अहीर तृतीय
आगरा,90. Agra Rural,11-बरौली अहीर चतुर्थ
आगरा,90. Agra Rural,12-बरौली अहीर पंचम
आगरा,90. Agra Rural,13-बरौली अहीर एवं बिचपुरी
आगरा,90. Agra Rural,14-बिचपुरी प्रथम
आगरा,90. Agra Rural,15-बिचपुरी द्वितीय
आगरा,90. Agra Rural,16-बिचपुरी तृतीय
आगरा,91. Fatehpur Sikri,17-अछनेरा प्रथम
आगरा,91. Fatehpur Sikri,18-अछनेरा द्वितीय
आगरा,91. Fatehpur Sikri,19-अछनेरा तृतीय
आगरा,91. Fatehpur Sikri,20-अछनेरा चतुर्थ
आगरा,91. Fatehpur Sikri,21-फतेहपुर सीकरी प्रथम
आगरा,91. Fatehpur Sikri,22-फतेहपुर सीकरी द्वितीय
आगरा,91. Fatehpur Sikri,23-फतेहपुर सीकरी तृतीय
आगरा,91. Fatehpur Sikri,24-फतेहपुर सीकरी एवं अकोला
आगरा,91. Fatehpur Sikri,25-अकोला प्रथम
आगरा,91. Fatehpur Sikri,26-अकोला द्वितीय
आगरा,92. Kheragarh,27-जगनेर प्रथम
आगरा,92. Kheragarh,28-जगनेर द्वितीय
आगरा,92. Kheragarh,29-जगनेर एवं खेरागढ़
आगरा,92. Kheragarh,30-खेरागढ़ प्रथम
आगरा,92. Kheragarh,31-खेरागढ़ द्वितीय
आगरा,92. Kheragarh,32-खेरागढ़/अकोला/सैया
आगरा,92. Kheragarh,33-सैया प्रथम
आगरा,92. Kheragarh,34-सैया द्वितीय
आगरा,92. Kheragarh,35-सैया तृतीय
आगरा,93. Fatehabad,36-शमशाबाद प्रथम
आगरा,93. Fatehabad,37-शमशाबाद द्वितीय
आगरा,93. Fatehabad,38-शमशाबाद तृतीय
आगरा,93. Fatehabad,39-शमशाबाद चतुर्थ
आगरा,93. Fatehabad,40-फतेहाबाद प्रथम
आगरा,93. Fatehabad,41-फतेहाबाद द्वितीय
आगरा,93. Fatehabad,42-फतेहाबाद तृतीय
आगरा,93. Fatehabad,43-फतेहाबाद चतुर्थ
आगरा,94. Bah,44-पिनाहट प्रथम
आगरा,94. Bah,45-पिनाहट द्वितीय
आगरा,94. Bah,46-पिनाहट एवं बाह
आगरा,94. Bah,47-बाह प्रथम
आगरा,94. Bah,48-बाह द्वितीय
आगरा,94. Bah,49-बाह एवं जै0कलां
आगरा,94. Bah,50-जै0कलां प्रथम
आगरा,94. Bah,51-जै0कलां द्वितीय
आजमगढ़,345. Sagri,1-महुला
आजमगढ़,345. Sagri,2-छपरा सुल्तानपुर
आजमगढ़,345. Sagri,3-सरायसागरमालटारी
आजमगढ़,345. Sagri,4-बेरमा
आजमगढ़,345. Sagri,5-हाजीपुर
आजमगढ़,344. Gopalpur,6-आ0दे0 करखिया
आजमगढ़,345. Sagri,7-हरैया
आजमगढ़,344. Gopalpur,8-चॉदपट्टी
आजमगढ़,344. Gopalpur,9-मधनापार
आजमगढ़,344. Gopalpur,10-भगतपुर
आजमगढ़,344. Gopalpur,11-पटवध कौतुक
आजमगढ़,344. Gopalpur,12-जयराजपुर
आजमगढ़,346. Mubarakpur,13-जोलहापुर
आजमगढ़,344. Gopalpur,14-आराजी अमानी
आजमगढ़,344. Gopalpur,15-कप्तानगंज
आजमगढ़,344. Gopalpur,16-परशुरामपुर
आजमगढ़,344. Gopalpur,17-रूद्रपर
आजमगढ़,344. Gopalpur,18-ऊसुरकुढ़वा
आजमगढ़,343. Atrauliya,19-गौराहरदो
आजमगढ़,343. Atrauliya,20-टहरकिशुनदेवपुर
आजमगढ़,343. Atrauliya,21-नन्दना
आजमगढ़,343. Atrauliya,22-तेजापुर
आजमगढ़,343. Atrauliya,23-बढ़या
आजमगढ़,343. Atrauliya,24-लेदौरा
आजमगढ़,343. Atrauliya,25-ग0प0 भेदौरा
आजमगढ़,343. Atrauliya,26-अहरौला
आजमगढ़,349. Phoolpur Pawai,27-समशाबाद
आजमगढ़,347. Azamgarh,28-मित्तूपुर
आजमगढ़,349. Phoolpur Pawai,29-पवई
आजमगढ़,349. Phoolpur Pawai,30-बागबहार
आजमगढ़,349. Phoolpur Pawai,31-मकसुदिया
आजमगढ़,349. Phoolpur Pawai,32-फूलुपुर
आजमगढ़,349. Phoolpur Pawai,33-राजापुर
आजमगढ़,350. Didarganj,34-पल्थी
आजमगढ़,349. Phoolpur Pawai,35-कनेरी
आजमगढ़,348. Nizamabad,36-मंजीरपट्टी
आजमगढ़,348. Nizamabad,37-मुड़ियार
आजमगढ़,349. Phoolpur Pawai,38-राजापुर सिकरौर
आजमगढ़,345. Sagri,39-जगदीशपुर
आजमगढ़,348. Nizamabad,40-बड़सरा खालसा
आजमगढ़,348. Nizamabad,41-ददरा भगवानपुर
आजमगढ़,348. Nizamabad,42-मधसिया
आजमगढ़,347. Azamgarh,43-हाफिजपुुर
आजमगढ़,347. Azamgarh,44-कोलबाजबहादुर
आजमगढ़,347. Azamgarh,45-जाफरपुर
आजमगढ़,347. Azamgarh,46-हैदराबाद उर्फ छतवारा
आजमगढ़,347. Azamgarh,47-सेठवल
आजमगढ़,348. Nizamabad,48-फरिहा
आजमगढ़,347. Azamgarh,49-कोटिला
आजमगढ़,347. Azamgarh,50-गम्भीरवन
आजमगढ़,350. Didarganj,51-ऑवक
आजमगढ़,350. Didarganj,52-नन्दॉव
आजमगढ़,350. Didarganj,53-रानीपुर रजमो
आजमगढ़,352. Mehnagar,54-मंगरावा रायपुर
आजमगढ़,350. Didarganj,55-रंगडीह
आजमगढ़,350. Didarganj,56-भादों
आजमगढ़,350. Didarganj,57-महुजा नेवादा
आजमगढ़,350. Didarganj,58-सुरहन
आजमगढ़,352. Mehnagar,59-गोमाडीह
आजमगढ़,351. Lalganj,60-ठेकमा
आजमगढ़,351. Lalganj,61-सराय मोहन
आजमगढ़,351. Lalganj,62-बरदह
आजमगढ़,352. Mehnagar,63-कैथीशंकरपुर
आजमगढ़,351. Lalganj,64-देवगांव
आजमगढ़,351. Lalganj,65-सिधौना
आजमगढ़,351. Lalganj,66-बैरीडीह
आजमगढ़,352. Mehnagar,67-धरनीपुर रानीपुर
आजमगढ़,351. Lalganj,68-लहुआकला
आजमगढ़,351. Lalganj,69-रासेपुर
आजमगढ़,352. Mehnagar,70-उचहुवां
आजमगढ़,352. Mehnagar,71-तरवां
आजमगढ़,352. Mehnagar,72-मेहनाजपुर
आजमगढ़,352. Mehnagar,73-कम्हरिया
आजमगढ़,352. Mehnagar,74-बछवल
आजमगढ़,343. Atrauliya,75-गौरा
आजमगढ़,344. Gopalpur,76-गोपालपुर
आजमगढ़,346. Mubarakpur,77-बड़हलगंज
आजमगढ़,346. Mubarakpur,78- धरवारा
आजमगढ़,346. Mubarakpur,79-जिगरसण्डी
आजमगढ़,346. Mubarakpur,80-इब्राहिमपुर
आजमगढ़,346. Mubarakpur,81-चकसिकठी
आजमगढ़,346. Mubarakpur,82-बम्हौर
आजमगढ़,346. Mubarakpur,83-समेंदा
आजमगढ़,346. Mubarakpur,84-गजहड़ा
इटावा,199. Jaswant Nagar,1-ताखा प्रथम
इटावा,199. Jaswant Nagar,2-ताखा द्वितीय
इटावा,199. Jaswant Nagar,3-ताखा तृतीय
इटावा,199. Jaswant Nagar,4-बसरेहर प्रथम
इटावा,199. Jaswant Nagar,5-बसरेहर द्वितीय
इटावा,199. Jaswant Nagar,6-बसरेहर तृतीय
इटावा,199. Jaswant Nagar,7-सैफई प्रथम
इटावा,199. Jaswant Nagar,8-सैफई द्वितीय
इटावा,199. Jaswant Nagar,9-जसवन्तनगर प्रथम
इटावा,199. Jaswant Nagar,10-जसवन्तनगर द्वितीय
इटावा,199. Jaswant Nagar,11-जसवन्तनगर तृतीय
इटावा,201. Bharthana,12-भरथना प्रथम
इटावा,201. Bharthana,13-भरथना द्वितीय
इटावा,201. Bharthana,14-भरथना तृतीय
इटावा,200. Etawah,15-बढ़पुरा प्रथम
इटावा,200. Etawah,16-बढ़पुरा द्वितीय
इटावा,200. Etawah,17-बढ़पुरा तृतीय
इटावा,201. Bharthana,18-महेवा प्रथम
इटावा,201. Bharthana,19-महेवा द्वितीय
इटावा,201. Bharthana,20-महेवा तृतीय
इटावा,201. Bharthana,21-महेवा चतुर्थ
इटावा,201. Bharthana,22-महेवा पंचम
इटावा,201. Bharthana,23-चकरनगर प्रथम
इटावा,201. Bharthana,24-चकरनगर द्वितीय
उन्नाव,164. Mohan,1-नवाबगंज प्रथम
उन्नाव,164. Mohan,2-नवाबगंज द्वितीय
उन्नाव,164. Mohan,3-नवाबगंज तृतीय
उन्नाव,164. Mohan,4-नवाबगंज चतुर्थ
उन्नाव,163. Safipur,5-हसनगंज प्रथम
उन्नाव,163. Safipur,6-हसनगंज द्वितीय
उन्नाव,163. Safipur,7-हसनगंज तृतीय
उन्नाव,163. Safipur,8-मियागंज प्रथम
उन्नाव,163. Safipur,9-मियागंज द्वितीय
उन्नाव,163. Safipur,10-मियागंज तृतीय
उन्नाव,164. Mohan,11-औरास प्रथम
उन्नाव,164. Mohan,12-औरास द्वितीय
उन्नाव,164. Mohan,13-औरास तृतीय
उन्नाव,162. Bangarmau,14-गंजमुरादाबाद प्रथम
उन्नाव,162. Bangarmau,15-गंजमुरादाबाद द्वितीय
उन्नाव,162. Bangarmau,16-गंजमुरादाबाद  तृतीय
उन्नाव,162. Bangarmau,17-बांगरमऊ प्रथम
उन्नाव,162. Bangarmau,18-बांगरमऊ द्वितीय
उन्नाव,162. Bangarmau,19-बागंरमऊ तृतीय
उन्नाव,162. Bangarmau,20-फतेहपुर चौरासी प्रथम
उन्नाव,162. Bangarmau,21-फतेहपुर चौरासी द्वितीय
उन्नाव,162. Bangarmau,22-फतेहपुर चौरासी तृतीय
उन्नाव,163. Safipur,23-सफीपुर प्रथम
उन्नाव,163. Safipur,24-सफीपुर द्वितीय
उन्नाव,163. Safipur,25-सफीपुर तृतीय
उन्नाव,165. Unnao,26-सिकन्दपुर सरोसी प्रथम
उन्नाव,165. Unnao,27-सिकन्दरपुर सरोसी द्वितीय
उन्नाव,165. Unnao,28-सिकन्दरपुर सरोसी तृतीय
उन्नाव,165. Unnao,29-सिकन्दरपुर सरोसी चतुर्थ
उन्नाव,166. Bhagwantnagar,30-सिकन्दरपुर करन प्रथम
उन्नाव,166. Bhagwantnagar,31-सिकन्दरपुर करन द्वितीय
उन्नाव,166. Bhagwantnagar,32-सिकन्दरपुर करन तृतीय
उन्नाव,166. Bhagwantnagar,33-बीघापुर प्रथम
उन्नाव,166. Bhagwantnagar,34-बीघापुर द्वितीय
उन्नाव,166. Bhagwantnagar,35-बीघापुर तृतीय
उन्नाव,166. Bhagwantnagar,36-सुमेरपुर प्रथम
उन्नाव,166. Bhagwantnagar,37-सुमेरपुर द्वितीय
उन्नाव,166. Bhagwantnagar,38-सुमेरपुर तृतीय
उन्नाव,167. Purwa,39-हिलौली प्रथम
उन्नाव,167. Purwa,40-हिलौली द्वितीय
उन्नाव,167. Purwa,41-हिलौली तृतीय
उन्नाव,167. Purwa,42-हिलौली चतुर्थ
उन्नाव,167. Purwa,43-असोहा प्रथम
उन्नाव,167. Purwa,44-असोहा द्वितीय
उन्नाव,167. Purwa,45-असोहा तृतीय
उन्नाव,167. Purwa,46-पुरवा प्रथम
उन्नाव,167. Purwa,47-पुरवा द्वितीय
उन्नाव,167. Purwa,48-बिछिया प्रथम
उन्नाव,167. Purwa,49-बिछिया द्वितीय
उन्नाव,167. Purwa,50-बिछिया तृतीय
उन्नाव,167. Purwa,51-बिछिया चतुर्थ
एटा,104. Etah,1-शीतलपुर प्रथम
एटा,104. Etah,2-शीतलपुर द्वितीय
एटा,105. Marhara,3-शीतलपुर तृतीय
एटा,105. Marhara,4-मारहरा प्रथम
एटा,105. Marhara,5-मारहरा एवं निधौली कलां
एटा,105. Marhara,6-मारहरा द्वितीय
एटा,105. Marhara,7-निधौली कलां प्रथम
एटा,105. Marhara,8-निधौली कलां द्वितीय
एटा,106. Jalesar,9-अवागढ़ प्रथम
एटा,106. Jalesar,10-जलेसर प्रथम
एटा,106. Jalesar,11-जलेसर द्वितीय
एटा,106. Jalesar,12-जलेसर तृतीय
एटा,106. Jalesar,13-अवागढ़ द्वितीय
एटा,106. Jalesar,14-अवागढ़ एवं निधौली कलां
एटा,106. Jalesar,15-निधोली कलां तृतीय
एटा,104. Etah,16-शीतलपुर चतुर्थ
एटा,104. Etah,17-सकीट प्रथम
एटा,104. Etah,18-सकीट द्वितीय
एटा,104. Etah,19-सकीट तृतीय
एटा,103. Aliganj,20-जैथरा एवं सकीट
एटा,103. Aliganj,21-जैथरा प्रथम
एटा,103. Aliganj,22-अलीगंज प्रथम
एटा,103. Aliganj,23-अलीगंज द्वितीय
एटा,103. Aliganj,24-अलीगंज तृतीय
एटा,103. Aliganj,25-अलीगंज चतुर्थ
एटा,103. Aliganj,26-अलीगंज पंचम
एटा,103. Aliganj,27-अलीगंज एवं जैथरा
एटा,103. Aliganj,28-जैथरा द्वितीय
एटा,103. Aliganj,29-जैथरा तृतीय
एटा,104. Etah,30-शीतलपुर एवं सकीट
औरैया,202. Bidhuna,1-बिधूना प्रथम
औरैया,202. Bidhuna,2-बिधूना द्वितीय
औरैया,202. Bidhuna,3-बिधूना तृतीय
औरैया,202. Bidhuna,4-एरवाकटरा प्रथम
औरैया,202. Bidhuna,5-एरवाकटरा द्वितीय
औरैया,202. Bidhuna,6-एरवाकटरा तृतीय
औरैया,203. Dibiyapur,7-अछल्दा प्रथम
औरैया,203. Dibiyapur,8-अछल्दा द्वितीय
औरैया,203. Dibiyapur,9-अछल्दा तृतीय
औरैया,204. Auraiya,10-अजीतमल प्रथम
औरैया,204. Auraiya,11-अजीतमल द्वितीय
औरैया,203. Dibiyapur,12-अजीतमल तृतीय
औरैया,204. Auraiya,13-औरैया प्रथम
औरैया,204. Auraiya,14-औरैया द्वितीय
औरैया,204. Auraiya,15-औरैया तृतीय
औरैया,204. Auraiya,16-औरैया चतुर्थ
औरैया,203. Dibiyapur,17-भाग्यनगर प्रथम
औरैया,203. Dibiyapur,18-भाग्यनगर द्वितीय
औरैया,203. Dibiyapur,19-भाग्यनगर तृतीय
औरैया,202. Bidhuna,20-भाग्यनगर चतुर्थ
औरैया,202. Bidhuna,21-सहार प्रथम
औरैया,202. Bidhuna,22-सहार द्वितीय
औरैया,202. Bidhuna,23-सहार तृतीय
कन्नौज,198. Kannauj,1-कन्नौज प्रथम
कन्नौज,198. Kannauj,2-कन्नौज द्वितीय
कन्नौज,198. Kannauj,3-कन्नौज तृतीय
कन्नौज,198. Kannauj,4-कन्नौज चतुर्थ
कन्नौज,198. Kannauj,5-जलालाबाद प्रथम
कन्नौज,198. Kannauj,6-जलालाबाद द्वितीय
कन्नौज,198. Kannauj,7-गुगरपुर प्रथम
कन्नौज,196. Chhibramau,8-गुगरपुर एवं तालग्राम
कन्नौज,196. Chhibramau,9-तालग्राम प्रथम
कन्नौज,196. Chhibramau,10-तालग्राम द्वितीय
कन्नौज,196. Chhibramau,11-तालग्राम तृतीय
कन्नौज,196. Chhibramau,12-तालग्राम एवं छिबरामऊ
