जिला,विधानसभा,विकास खण्ड
सीतापुर,148. Laharpur,लहरपुर
सीतापुर,146. Sitapur,खैराबाद
सीतापुर,146. Sitapur,गोंदलामऊ
सीतापुर,149. Biswan,बिसवाँ
सीतापुर,153. Mishrikh,मछरेहटा
सीतापुर,149. Biswan,कसमण्डा
सीतापुर,151. Mahmoodabad,पहला
सीतापुर,151. Mahmoodabad,महमूदाबाद
सीतापुर,148. Laharpur,परसेंण्डी
सीतापुर,145. Maholi,महोली
सीतापुर,145. Maholi,पिसावाँ
सुलतानपुर,191. Kadipur,अखण्डनगर
सुलतानपुर,187. Isauli,बल्दीराय
सुलतानपुर,190. Lambhua,भदैंयाँ
सुलतानपुर,188. Sultanpur,धनपतगंज
सुलतानपुर,191. Kadipur,दोस्तपुर
सुलतानपुर,188. Sultanpur,दूबेपुर
सुलतानपुर,189. Sultanpur Sadar,जयसिंहपुर
सुलतानपुर,191. Kadipur,कादीपुर
सुलतानपुर,187. Isauli,कुड़वार
सुलतानपुर,189. Sultanpur Sadar,कूड़ेभार
सुलतानपुर,190. Lambhua,लम्भुआ
सुलतानपुर,190. Lambhua,प्रतापपुर कमैचा
सुलतानपुर,189. Sultanpur Sadar,मोतिगरपुर
सुलतानपुर,191. Kadipur,करौंदीकलाँ
सोनभद्र,401. Robertsganj,नगवाँ
सोनभद्र,403. Duddhi,वभनी
सोनभद्र,403. Duddhi,दुद्धी
सोनभद्र,402. Obra,चोपन
सोनभद्र,401. Robertsganj,राबट्रर्सगंज
सोनभद्र,400. Ghorawal,घोरावल
सोनभद्र,401. Robertsganj,चतरा
सोनभद्र,403. Duddhi,म्योरपुर
सोनभद्र,400. Ghorawal,करमा
सोनभद्र,401. Robertsganj,कोन
हमीरपुर,229. Rath,सरीला
हमीरपुर,229. Rath,राठ
हमीरपुर,228. Hamirpur,कुरारा
हमीरपुर,229. Rath,गोहाण्ड
हमीरपुर,228. Hamirpur,सुमेरपुर
हमीरपुर,228. Hamirpur,मौदहा
हमीरपुर,229. Rath,मुस्करा
हरदोई,161. Sandila,सण्डीला
हरदोई,158. Sandi,साण्डी
हरदोई,156. Hardoi,हरियावां
हरदोई,157. Gopamau,टडियावां
हरदोई,160. Balamau,कछौना
हरदोई,160. Balamau,कोथावॉं
हरदोई,159. Bilgram Mallanwan,बिलग्राम
हरदोई,155. Shahabad,शाहाबाद
हरदोई,155. Shahabad,टोडरपुर
हरदोई,159. Bilgram Mallanwan,माधौगंज
हरदोई,156. Hardoi,बावन
हरदोई,159. Bilgram Mallanwan,मल्लावाँ
हरदोई,158. Sandi,सुरसा
हरदोई,161. Sandila,भरावन
हरदोई,154. Sawayazpur,हरपालपुर
हरदोई,154. Sawayazpur,भरखनी
हरदोई,157. Gopamau,पिहानी
हरदोई,158. Sandi,अहिरोरी
हरदोई,160. Balamau,बेंहदर
हाथरस,78. Hathras,हाथरस
हाथरस,78. Hathras,सासनी
हाथरस,80. Sikandra Rao,सिकन्दराराऊ
हाथरस,79. Sadabad,मुरसान
हाथरस,80. Sikandra Rao,हसायन
हाथरस,79. Sadabad,सादाबाद
हाथरस,79. Sadabad,सहपऊ
हापुड़,59. Hapur,हापुड़
हापुड़,58. Dholana,धौलाना
हापुड़,60. Garhmukteshwar,सिम्भावली
हापुड़,60. Garhmukteshwar,गढमुक्तेश्वर
